iter	RMSE
0	16.05925324
1	15.68338206
2	15.35852333
3	15.04180095
4	14.74116063
5	14.44679388
6	14.17310629
7	13.93892294
8	13.67646656
9	13.54187179
10	13.38918791
11	13.16930407
12	13.04552137
13	12.8677423
14	12.65432994
15	12.46991467
16	12.32214954
17	12.2016584
18	12.05907357
19	11.91961249
20	11.79203702
21	11.6394271
22	11.48407191
23	11.32685431
24	11.2159569
25	11.0750844
26	10.98395473
27	10.89761779
28	10.81134699
29	10.7394825
30	10.63000653
31	10.55290128
32	10.47063064
33	10.39994374
34	10.31212673
35	10.25100431
36	10.17961425
37	10.1169008
38	10.01996379
39	9.951526383
40	9.854759162
41	9.774250754
42	9.679182967
43	9.62833181
44	9.54969508
45	9.485329419
46	9.440935517
47	9.387279982
48	9.340561014
49	9.286467666
50	9.21258561
51	9.193288266
52	9.145731125
53	9.10173671
54	9.042346247
55	8.986240748
56	8.942642356
57	8.897826025
58	8.843754323
59	8.798724609
60	8.744123996
61	8.719097088
62	8.685839012
63	8.648477001
64	8.6145581
65	8.584594161
66	8.543127115
67	8.488362231
68	8.470108682
69	8.435473187
70	8.401012577
71	8.369813095
72	8.334784944
73	8.315560432
74	8.291483513
75	8.271857195
76	8.23063524
77	8.192534337
78	8.142081229
79	8.109442051
80	8.072163018
81	8.041668832
82	8.020270141
83	7.999002174
84	7.96765855
85	7.932200571
86	7.904204143
87	7.867679533
88	7.83115921
89	7.803184486
90	7.776029983
91	7.752567505
92	7.72693721
93	7.706431845
94	7.683567191
95	7.652265682
96	7.622613314
97	7.600685681
98	7.573538816
99	7.561896284
100	7.528917101
101	7.514012478
102	7.486893521
103	7.455869668
104	7.43700265
105	7.406640311
106	7.387284026
107	7.358925993
108	7.338365939
109	7.311434555
110	7.291147732
111	7.274585704
112	7.240943896
113	7.224467659
114	7.207990564
115	7.189659921
116	7.164602357
117	7.148074831
118	7.121980438
119	7.103702846
120	7.086409254
121	7.052042312
122	7.042297659
123	7.009947315
124	6.976625184
125	6.954097273
126	6.930120516
127	6.90709656
128	6.86967315
129	6.851677141
130	6.830254758
131	6.801355314
132	6.782256536
133	6.754089856
134	6.743409952
135	6.734641435
136	6.726000964
137	6.713431811
138	6.703438805
139	6.690785509
140	6.669938927
141	6.649560919
142	6.641738059
143	6.620289279
144	6.607345112
145	6.599047085
146	6.574726205
147	6.534947164
148	6.507046748
149	6.484851366
150	6.459268314
151	6.440516247
152	6.41572287
153	6.393290781
154	6.381171091
155	6.351324646
156	6.335492323
157	6.300039228
158	6.266297346
159	6.252585519
160	6.228461243
161	6.205557654
162	6.185049925
163	6.179449624
164	6.158036034
165	6.140864038
166	6.13294094
167	6.125687148
168	6.110401582
169	6.079460603
170	6.04942506
171	6.034794736
172	6.020289886
173	5.991574093
174	5.985563501
175	5.959110297
176	5.939288173
177	5.919253657
178	5.901444212
179	5.895384508
180	5.876843747
181	5.851616324
182	5.83729225
183	5.83032975
184	5.824580037
185	5.794704393
186	5.765123851
187	5.748744843
188	5.735035279
189	5.728616622
190	5.70563087
191	5.687472272
192	5.662226292
193	5.640334174
194	5.622978398
195	5.618232604
196	5.604328882
197	5.587294144
198	5.55729024
199	5.544312368
